timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763074522,2025-11-13 16:55:22-06:00,card0,0,0,0,N/A,0
1763074523,2025-11-13 16:55:23-06:00,card0,0,0,0,N/A,0
1763074524,2025-11-13 16:55:24-06:00,card0,0,0,0,N/A,0
1763074525,2025-11-13 16:55:25-06:00,card0,0,0,0,N/A,0
1763074527,2025-11-13 16:55:27-06:00,card0,0,0,0,N/A,0
1763074528,2025-11-13 16:55:28-06:00,card0,0,0,0,N/A,0
1763074529,2025-11-13 16:55:29-06:00,card0,0,0,0,N/A,0
1763074530,2025-11-13 16:55:30-06:00,card0,0,0,0,N/A,0
1763074531,2025-11-13 16:55:31-06:00,card0,0,0,0,N/A,0
1763074532,2025-11-13 16:55:32-06:00,card0,0,0,0,N/A,0
1763074533,2025-11-13 16:55:33-06:00,card0,0,0,0,N/A,0
1763074534,2025-11-13 16:55:34-06:00,card0,0,0,0,N/A,0
1763074535,2025-11-13 16:55:35-06:00,card0,0,0,0,N/A,0
1763074537,2025-11-13 16:55:37-06:00,card0,0,0,0,N/A,0
1763074538,2025-11-13 16:55:38-06:00,card0,0,0,0,N/A,0
1763074539,2025-11-13 16:55:39-06:00,card0,0,0,0,N/A,0
1763074540,2025-11-13 16:55:40-06:00,card0,0,0,0,N/A,0
1763074541,2025-11-13 16:55:41-06:00,card0,0,0,0,N/A,0
1763074542,2025-11-13 16:55:42-06:00,card0,0,0,0,N/A,0
1763074543,2025-11-13 16:55:43-06:00,card0,0,0,0,N/A,0
1763074544,2025-11-13 16:55:44-06:00,card0,0,0,0,N/A,0
1763074545,2025-11-13 16:55:45-06:00,card0,0,0,0,N/A,0
1763074546,2025-11-13 16:55:46-06:00,card0,0,0,0,N/A,0
1763074548,2025-11-13 16:55:48-06:00,card0,0,0,0,N/A,0
1763074549,2025-11-13 16:55:49-06:00,card0,0,0,0,N/A,0
1763074550,2025-11-13 16:55:50-06:00,card0,0,0,0,N/A,0
1763074551,2025-11-13 16:55:51-06:00,card0,0,0,0,N/A,0
1763074552,2025-11-13 16:55:52-06:00,card0,0,0,0,N/A,0
1763074553,2025-11-13 16:55:53-06:00,card0,0,0,0,N/A,0
1763074554,2025-11-13 16:55:54-06:00,card0,0,0,0,N/A,0
1763074555,2025-11-13 16:55:55-06:00,card0,0,0,0,N/A,0
