timestamp,timerfc,device,GPU use (),GPU Memory Allocated (VRAM),GPU Memory Read/Write Activity (),Memory Activity,Avg. Memory Bandwidth
1763071190,,card0,0,1,0,N/A,0
1763071192,,card0,0,1,0,N/A,0
1763071193,,card0,0,1,0,N/A,0
1763071194,,card0,0,1,0,N/A,0
1763071195,,card0,0,1,0,N/A,0
1763071196,,card0,0,1,0,N/A,0
1763071197,,card0,0,1,0,N/A,0
1763071198,,card0,0,1,0,N/A,0
1763071199,,card0,0,1,0,N/A,0
1763071200,,card0,0,1,0,N/A,0
1763071201,,card0,0,1,0,N/A,0
1763071203,,card0,0,1,0,N/A,0
1763071204,,card0,0,1,0,N/A,0
1763071205,,card0,6,1,0,N/A,0
1763071206,,card0,0,1,0,N/A,0
1763071207,,card0,4,2,0,N/A,0
1763071208,,card0,0,2,0,N/A,0
1763071209,,card0,0,2,0,N/A,0
1763071210,,card0,0,2,0,N/A,0
1763071211,,card0,0,2,0,N/A,0
1763071212,,card0,0,2,0,N/A,0
1763071214,,card0,0,2,0,N/A,0
1763071215,,card0,0,2,0,N/A,0
1763071216,,card0,0,2,0,N/A,0
1763071217,,card0,0,2,0,N/A,0
1763071218,,card0,0,2,0,N/A,0
1763071219,,card0,0,2,0,N/A,0
1763071220,,card0,0,2,0,N/A,0
1763071221,,card0,0,2,0,N/A,0
1763071222,,card0,0,2,0,N/A,0
1763071224,,card0,0,2,0,N/A,0
1763071225,,card0,0,2,0,N/A,0
1763071226,,card0,0,2,0,N/A,0
1763071227,,card0,0,2,0,N/A,0
1763071228,,card0,0,2,0,N/A,0
1763071229,,card0,0,2,0,N/A,0
1763071230,,card0,0,2,0,N/A,0
1763071231,,card0,0,2,0,N/A,0
1763071232,,card0,0,2,0,N/A,0
1763071233,,card0,0,2,0,N/A,0
1763071235,,card0,0,2,0,N/A,0
1763071236,,card0,0,2,0,N/A,0
1763071237,,card0,0,2,0,N/A,0
1763071238,,card0,0,2,0,N/A,0
1763071239,,card0,0,2,0,N/A,0
1763071240,,card0,0,2,0,N/A,0
1763071241,,card0,0,2,0,N/A,0
1763071242,,card0,0,2,0,N/A,0
1763071243,,card0,0,2,0,N/A,0
1763071244,,card0,0,2,0,N/A,0
1763071246,,card0,0,2,0,N/A,0
1763071247,,card0,0,2,0,N/A,0
1763071248,,card0,0,2,0,N/A,0
1763071249,,card0,0,2,0,N/A,0
1763071250,,card0,0,2,0,N/A,0
1763071251,,card0,0,2,0,N/A,0
1763071252,,card0,0,2,0,N/A,0
1763071253,,card0,0,2,0,N/A,0
1763071254,,card0,0,2,0,N/A,0
1763071255,,card0,0,2,0,N/A,0
1763071257,,card0,0,2,0,N/A,0
1763071258,,card0,0,2,0,N/A,0
1763071259,,card0,0,2,0,N/A,0
1763071260,,card0,0,2,0,N/A,0
1763071261,,card0,0,2,0,N/A,0
1763071262,,card0,0,2,0,N/A,0
1763071263,,card0,0,2,0,N/A,0
1763071264,,card0,0,2,0,N/A,0
1763071265,,card0,0,2,0,N/A,0
1763071266,,card0,0,2,0,N/A,0
1763071268,,card0,0,2,0,N/A,0
1763071269,,card0,0,2,0,N/A,0
1763071270,,card0,0,2,0,N/A,0
1763071271,,card0,0,2,0,N/A,0
1763071272,,card0,0,2,0,N/A,0
1763071273,,card0,0,2,0,N/A,0
1763071274,,card0,0,2,0,N/A,0
1763071275,,card0,0,2,0,N/A,0
1763071276,,card0,0,2,0,N/A,0
1763071277,,card0,0,2,0,N/A,0
1763071279,,card0,0,2,0,N/A,0
1763071280,,card0,0,2,0,N/A,0
1763071281,,card0,0,2,0,N/A,0
1763071282,,card0,0,2,0,N/A,0
1763071283,,card0,0,2,0,N/A,0
1763071284,,card0,0,2,0,N/A,0
1763071285,,card0,0,2,0,N/A,0
1763071286,,card0,0,2,0,N/A,0
1763071287,,card0,0,2,0,N/A,0
1763071288,,card0,0,2,0,N/A,0
1763071290,,card0,0,2,0,N/A,0
1763071291,,card0,0,2,0,N/A,0
1763071292,,card0,0,2,0,N/A,0
1763071293,,card0,0,2,0,N/A,0
1763071294,,card0,0,2,0,N/A,0
1763071295,,card0,0,2,0,N/A,0
1763071296,,card0,0,2,0,N/A,0
1763071297,,card0,0,2,0,N/A,0
1763071298,,card0,0,2,0,N/A,0
1763071299,,card0,0,2,0,N/A,0
1763071301,,card0,0,2,0,N/A,0
1763071302,,card0,0,2,0,N/A,0
1763071303,,card0,0,2,0,N/A,0
1763071304,,card0,0,2,0,N/A,0
1763071305,,card0,0,2,0,N/A,0
1763071306,,card0,0,2,0,N/A,0
1763071307,,card0,0,2,0,N/A,0
1763071308,,card0,0,2,0,N/A,0
1763071309,,card0,0,2,0,N/A,0
1763071310,,card0,0,2,0,N/A,0
1763071312,,card0,0,2,0,N/A,0
1763071313,,card0,0,2,0,N/A,0
1763071314,,card0,0,2,0,N/A,0
1763071315,,card0,0,2,0,N/A,0
1763071316,,card0,0,2,0,N/A,0
1763071317,,card0,0,2,0,N/A,0
1763071318,,card0,0,2,0,N/A,0
1763071319,,card0,0,2,0,N/A,0
1763071320,,card0,0,2,0,N/A,0
1763071321,,card0,0,2,0,N/A,0
1763071323,,card0,0,2,0,N/A,0
1763071324,,card0,0,2,0,N/A,0
1763071325,,card0,0,2,0,N/A,0
1763071326,,card0,0,2,0,N/A,0
1763071327,,card0,0,2,0,N/A,0
1763071328,,card0,0,2,0,N/A,0
1763071329,,card0,0,2,0,N/A,0
1763071330,,card0,0,2,0,N/A,0
1763071331,,card0,0,2,0,N/A,0
1763071332,,card0,0,2,0,N/A,0
1763071334,,card0,0,2,0,N/A,0
1763071335,,card0,0,2,0,N/A,0
1763071336,,card0,0,2,0,N/A,0
1763071337,,card0,0,2,0,N/A,0
1763071338,,card0,0,2,0,N/A,0
1763071339,,card0,0,2,0,N/A,0
1763071340,,card0,0,2,0,N/A,0
1763071341,,card0,0,2,0,N/A,0
1763071342,,card0,0,2,0,N/A,0
1763071343,,card0,0,2,0,N/A,0
1763071345,,card0,0,2,0,N/A,0
1763071346,,card0,0,2,0,N/A,0
1763071347,,card0,0,2,0,N/A,0
1763071348,,card0,0,2,0,N/A,0
1763071349,,card0,0,2,0,N/A,0
1763071350,,card0,0,2,0,N/A,0
1763071351,,card0,0,2,0,N/A,0
1763071352,,card0,0,2,0,N/A,0
1763071353,,card0,0,2,0,N/A,0
1763071355,,card0,0,2,0,N/A,0
1763071356,,card0,0,2,0,N/A,0
1763071357,,card0,0,2,0,N/A,0
1763071358,,card0,1,2,0,N/A,0
1763071359,,card0,0,2,0,N/A,0
1763071360,,card0,0,2,0,N/A,0
1763071361,,card0,0,2,0,N/A,0
1763071362,,card0,0,2,0,N/A,0
1763071363,,card0,0,2,0,N/A,0
1763071364,,card0,0,2,0,N/A,0
1763071366,,card0,0,2,0,N/A,0
1763071367,,card0,0,2,0,N/A,0
1763071368,,card0,0,2,0,N/A,0
1763071369,,card0,0,2,0,N/A,0
1763071370,,card0,0,2,0,N/A,0
1763071371,,card0,0,2,0,N/A,0
1763071372,,card0,0,2,0,N/A,0
1763071373,,card0,0,2,0,N/A,0
1763071374,,card0,0,2,0,N/A,0
1763071375,,card0,0,2,0,N/A,0
1763071377,,card0,0,2,0,N/A,0
1763071378,,card0,0,2,0,N/A,0
1763071379,,card0,0,2,0,N/A,0
1763071380,,card0,0,2,0,N/A,0
1763071381,,card0,0,2,0,N/A,0
1763071382,,card0,0,2,0,N/A,0
1763071383,,card0,0,2,0,N/A,0
1763071384,,card0,0,2,0,N/A,0
1763071385,,card0,0,2,0,N/A,0
1763071386,,card0,0,2,0,N/A,0
1763071388,,card0,0,2,0,N/A,0
1763071389,,card0,0,2,0,N/A,0
1763071390,,card0,0,2,0,N/A,0
1763071391,,card0,0,2,0,N/A,0
1763071392,,card0,0,2,0,N/A,0
1763071393,,card0,0,2,0,N/A,0
1763071394,,card0,0,2,0,N/A,0
1763071395,,card0,0,2,0,N/A,0
1763071396,,card0,0,2,0,N/A,0
1763071397,,card0,0,2,0,N/A,0
1763071399,,card0,0,2,0,N/A,0
1763071400,,card0,0,2,0,N/A,0
1763071401,,card0,0,2,0,N/A,0
1763071402,,card0,0,2,0,N/A,0
1763071403,,card0,0,2,0,N/A,0
1763071404,,card0,0,2,0,N/A,0
1763071405,,card0,0,2,0,N/A,0
1763071406,,card0,0,2,0,N/A,0
1763071407,,card0,0,2,0,N/A,0
1763071408,,card0,0,2,0,N/A,0
1763071410,,card0,0,2,0,N/A,0
1763071411,,card0,0,2,0,N/A,0
1763071412,,card0,0,2,0,N/A,0
1763071413,,card0,0,2,0,N/A,0
1763071414,,card0,0,2,0,N/A,0
1763071415,,card0,0,2,0,N/A,0
1763071416,,card0,0,2,0,N/A,0
1763071417,,card0,0,2,0,N/A,0
1763071418,,card0,0,2,0,N/A,0
1763071419,,card0,0,2,0,N/A,0
1763071421,,card0,0,2,0,N/A,0
1763071422,,card0,0,2,0,N/A,0
1763071423,,card0,0,2,0,N/A,0
1763071424,,card0,0,2,0,N/A,0
1763071425,,card0,0,2,0,N/A,0
1763071426,,card0,0,2,0,N/A,0
1763071427,,card0,0,2,0,N/A,0
1763071428,,card0,0,2,0,N/A,0
1763071429,,card0,0,2,0,N/A,0
1763071430,,card0,0,2,0,N/A,0
1763071432,,card0,0,2,0,N/A,0
1763071433,,card0,0,2,0,N/A,0
1763071434,,card0,0,2,0,N/A,0
1763071435,,card0,0,2,0,N/A,0
1763071436,,card0,0,2,0,N/A,0
1763071437,,card0,0,2,0,N/A,0
1763071438,,card0,0,2,0,N/A,0
1763071439,,card0,0,2,0,N/A,0
1763071440,,card0,0,2,0,N/A,0
1763071442,,card0,0,2,0,N/A,0
1763071443,,card0,0,2,0,N/A,0
1763071444,,card0,47,2,0,N/A,0
1763071445,,card0,0,2,0,N/A,0
1763071446,,card0,33,2,0,N/A,0
1763071447,,card0,64,2,0,N/A,0
1763071448,,card0,8,2,0,N/A,0
1763071449,,card0,19,2,0,N/A,0
1763071450,,card0,32,2,1,N/A,0
1763071452,,card0,27,2,1,N/A,0
1763071453,,card0,26,2,0,N/A,0
1763071454,,card0,52,2,2,N/A,0
1763071455,,card0,61,2,5,N/A,0
1763071456,,card0,62,2,3,N/A,0
1763071457,,card0,76,2,1,N/A,0
1763071458,,card0,0,2,0,N/A,0
1763071460,,card0,0,2,0,N/A,0
1763071461,,card0,8,2,0,N/A,0
1763071462,,card0,31,2,0,N/A,0
1763071463,,card0,41,2,0,N/A,0
1763071464,,card0,43,2,0,N/A,0
1763071465,,card0,55,2,0,N/A,0
1763071466,,card0,41,2,1,N/A,0
1763071468,,card0,57,2,1,N/A,0
1763071469,,card0,20,2,0,N/A,0
1763071470,,card0,25,2,0,N/A,0
1763071471,,card0,41,2,0,N/A,0
1763071472,,card0,39,2,0,N/A,0
1763071473,,card0,67,2,0,N/A,0
1763071474,,card0,59,2,1,N/A,0
1763071475,,card0,65,2,0,N/A,0
1763071477,,card0,20,2,0,N/A,0
1763071478,,card0,45,2,0,N/A,0
1763071479,,card0,62,2,0,N/A,0
1763071480,,card0,60,2,1,N/A,0
1763071481,,card0,34,2,0,N/A,0
1763071482,,card0,16,2,0,N/A,0
1763071483,,card0,61,2,1,N/A,0
1763071485,,card0,12,2,0,N/A,0
1763071486,,card0,8,2,0,N/A,0
1763071487,,card0,0,2,0,N/A,0
1763071488,,card0,8,2,0,N/A,0
1763071489,,card0,0,2,0,N/A,0
1763071490,,card0,6,2,0,N/A,0
1763071491,,card0,10,2,0,N/A,0
1763071492,,card0,14,2,0,N/A,0
1763071493,,card0,10,2,0,N/A,0
1763071495,,card0,6,2,0,N/A,0
1763071496,,card0,17,2,0,N/A,0
1763071497,,card0,28,2,1,N/A,0
1763071498,,card0,45,2,10,N/A,0
1763071499,,card0,50,2,0,N/A,0
1763071500,,card0,57,2,0,N/A,0
